"airline","avail_seat_km_per_week","type","value","period"
"Aer Lingus",320906734,"incidents",2,"1985_1999"
"Aeroflot*",1197672318,"incidents",76,"1985_1999"
"Aerolineas Argentinas",385803648,"incidents",6,"1985_1999"
"Aeromexico*",596871813,"incidents",3,"1985_1999"
"Air Canada",1865253802,"incidents",2,"1985_1999"
"Air France",3004002661,"incidents",14,"1985_1999"
"Air India*",869253552,"incidents",2,"1985_1999"
"Air New Zealand*",710174817,"incidents",3,"1985_1999"
"Alaska Airlines*",965346773,"incidents",5,"1985_1999"
"Alitalia",698012498,"incidents",7,"1985_1999"
"All Nippon Airways",1841234177,"incidents",3,"1985_1999"
"American*",5228357340,"incidents",21,"1985_1999"
"Austrian Airlines",358239823,"incidents",1,"1985_1999"
"Avianca",396922563,"incidents",5,"1985_1999"
"British Airways*",3179760952,"incidents",4,"1985_1999"
"Cathay Pacific*",2582459303,"incidents",0,"1985_1999"
"China Airlines",813216487,"incidents",12,"1985_1999"
"Condor",417982610,"incidents",2,"1985_1999"
"COPA",550491507,"incidents",3,"1985_1999"
"Delta / Northwest*",6525658894,"incidents",24,"1985_1999"
"Egyptair",557699891,"incidents",8,"1985_1999"
"El Al",335448023,"incidents",1,"1985_1999"
"Ethiopian Airlines",488560643,"incidents",25,"1985_1999"
"Finnair",506464950,"incidents",1,"1985_1999"
"Garuda Indonesia",613356665,"incidents",10,"1985_1999"
"Gulf Air",301379762,"incidents",1,"1985_1999"
"Hawaiian Airlines",493877795,"incidents",0,"1985_1999"
"Iberia",1173203126,"incidents",4,"1985_1999"
"Japan Airlines",1574217531,"incidents",3,"1985_1999"
"Kenya Airways",277414794,"incidents",2,"1985_1999"
"KLM*",1874561773,"incidents",7,"1985_1999"
"Korean Air",1734522605,"incidents",12,"1985_1999"
"LAN Airlines",1001965891,"incidents",3,"1985_1999"
"Lufthansa*",3426529504,"incidents",6,"1985_1999"
"Malaysia Airlines",1039171244,"incidents",3,"1985_1999"
"Pakistan International",348563137,"incidents",8,"1985_1999"
"Philippine Airlines",413007158,"incidents",7,"1985_1999"
"Qantas*",1917428984,"incidents",1,"1985_1999"
"Royal Air Maroc",295705339,"incidents",5,"1985_1999"
"SAS*",682971852,"incidents",5,"1985_1999"
"Saudi Arabian",859673901,"incidents",7,"1985_1999"
"Singapore Airlines",2376857805,"incidents",2,"1985_1999"
"South African",651502442,"incidents",2,"1985_1999"
"Southwest Airlines",3276525770,"incidents",1,"1985_1999"
"Sri Lankan / AirLanka",325582976,"incidents",2,"1985_1999"
"SWISS*",792601299,"incidents",2,"1985_1999"
"TACA",259373346,"incidents",3,"1985_1999"
"TAM",1509195646,"incidents",8,"1985_1999"
"TAP - Air Portugal",619130754,"incidents",0,"1985_1999"
"Thai Airways",1702802250,"incidents",8,"1985_1999"
"Turkish Airlines",1946098294,"incidents",8,"1985_1999"
"United / Continental*",7139291291,"incidents",19,"1985_1999"
"US Airways / America West*",2455687887,"incidents",16,"1985_1999"
"Vietnam Airlines",625084918,"incidents",7,"1985_1999"
"Virgin Atlantic",1005248585,"incidents",1,"1985_1999"
"Xiamen Airlines",430462962,"incidents",9,"1985_1999"
"Aer Lingus",320906734,"fatal_accidents",0,"1985_1999"
"Aeroflot*",1197672318,"fatal_accidents",14,"1985_1999"
"Aerolineas Argentinas",385803648,"fatal_accidents",0,"1985_1999"
"Aeromexico*",596871813,"fatal_accidents",1,"1985_1999"
"Air Canada",1865253802,"fatal_accidents",0,"1985_1999"
"Air France",3004002661,"fatal_accidents",4,"1985_1999"
"Air India*",869253552,"fatal_accidents",1,"1985_1999"
"Air New Zealand*",710174817,"fatal_accidents",0,"1985_1999"
"Alaska Airlines*",965346773,"fatal_accidents",0,"1985_1999"
"Alitalia",698012498,"fatal_accidents",2,"1985_1999"
"All Nippon Airways",1841234177,"fatal_accidents",1,"1985_1999"
"American*",5228357340,"fatal_accidents",5,"1985_1999"
"Austrian Airlines",358239823,"fatal_accidents",0,"1985_1999"
"Avianca",396922563,"fatal_accidents",3,"1985_1999"
"British Airways*",3179760952,"fatal_accidents",0,"1985_1999"
"Cathay Pacific*",2582459303,"fatal_accidents",0,"1985_1999"
"China Airlines",813216487,"fatal_accidents",6,"1985_1999"
"Condor",417982610,"fatal_accidents",1,"1985_1999"
"COPA",550491507,"fatal_accidents",1,"1985_1999"
"Delta / Northwest*",6525658894,"fatal_accidents",12,"1985_1999"
"Egyptair",557699891,"fatal_accidents",3,"1985_1999"
"El Al",335448023,"fatal_accidents",1,"1985_1999"
"Ethiopian Airlines",488560643,"fatal_accidents",5,"1985_1999"
"Finnair",506464950,"fatal_accidents",0,"1985_1999"
"Garuda Indonesia",613356665,"fatal_accidents",3,"1985_1999"
"Gulf Air",301379762,"fatal_accidents",0,"1985_1999"
"Hawaiian Airlines",493877795,"fatal_accidents",0,"1985_1999"
"Iberia",1173203126,"fatal_accidents",1,"1985_1999"
"Japan Airlines",1574217531,"fatal_accidents",1,"1985_1999"
"Kenya Airways",277414794,"fatal_accidents",0,"1985_1999"
"KLM*",1874561773,"fatal_accidents",1,"1985_1999"
"Korean Air",1734522605,"fatal_accidents",5,"1985_1999"
"LAN Airlines",1001965891,"fatal_accidents",2,"1985_1999"
"Lufthansa*",3426529504,"fatal_accidents",1,"1985_1999"
"Malaysia Airlines",1039171244,"fatal_accidents",1,"1985_1999"
"Pakistan International",348563137,"fatal_accidents",3,"1985_1999"
"Philippine Airlines",413007158,"fatal_accidents",4,"1985_1999"
"Qantas*",1917428984,"fatal_accidents",0,"1985_1999"
"Royal Air Maroc",295705339,"fatal_accidents",3,"1985_1999"
"SAS*",682971852,"fatal_accidents",0,"1985_1999"
"Saudi Arabian",859673901,"fatal_accidents",2,"1985_1999"
"Singapore Airlines",2376857805,"fatal_accidents",2,"1985_1999"
"South African",651502442,"fatal_accidents",1,"1985_1999"
"Southwest Airlines",3276525770,"fatal_accidents",0,"1985_1999"
"Sri Lankan / AirLanka",325582976,"fatal_accidents",1,"1985_1999"
"SWISS*",792601299,"fatal_accidents",1,"1985_1999"
"TACA",259373346,"fatal_accidents",1,"1985_1999"
"TAM",1509195646,"fatal_accidents",3,"1985_1999"
"TAP - Air Portugal",619130754,"fatal_accidents",0,"1985_1999"
"Thai Airways",1702802250,"fatal_accidents",4,"1985_1999"
"Turkish Airlines",1946098294,"fatal_accidents",3,"1985_1999"
"United / Continental*",7139291291,"fatal_accidents",8,"1985_1999"
"US Airways / America West*",2455687887,"fatal_accidents",7,"1985_1999"
"Vietnam Airlines",625084918,"fatal_accidents",3,"1985_1999"
"Virgin Atlantic",1005248585,"fatal_accidents",0,"1985_1999"
"Xiamen Airlines",430462962,"fatal_accidents",1,"1985_1999"
"Aer Lingus",320906734,"fatalities",0,"1985_1999"
"Aeroflot*",1197672318,"fatalities",128,"1985_1999"
"Aerolineas Argentinas",385803648,"fatalities",0,"1985_1999"
"Aeromexico*",596871813,"fatalities",64,"1985_1999"
"Air Canada",1865253802,"fatalities",0,"1985_1999"
"Air France",3004002661,"fatalities",79,"1985_1999"
"Air India*",869253552,"fatalities",329,"1985_1999"
"Air New Zealand*",710174817,"fatalities",0,"1985_1999"
"Alaska Airlines*",965346773,"fatalities",0,"1985_1999"
"Alitalia",698012498,"fatalities",50,"1985_1999"
"All Nippon Airways",1841234177,"fatalities",1,"1985_1999"
"American*",5228357340,"fatalities",101,"1985_1999"
"Austrian Airlines",358239823,"fatalities",0,"1985_1999"
"Avianca",396922563,"fatalities",323,"1985_1999"
"British Airways*",3179760952,"fatalities",0,"1985_1999"
"Cathay Pacific*",2582459303,"fatalities",0,"1985_1999"
"China Airlines",813216487,"fatalities",535,"1985_1999"
"Condor",417982610,"fatalities",16,"1985_1999"
"COPA",550491507,"fatalities",47,"1985_1999"
"Delta / Northwest*",6525658894,"fatalities",407,"1985_1999"
"Egyptair",557699891,"fatalities",282,"1985_1999"
"El Al",335448023,"fatalities",4,"1985_1999"
"Ethiopian Airlines",488560643,"fatalities",167,"1985_1999"
"Finnair",506464950,"fatalities",0,"1985_1999"
"Garuda Indonesia",613356665,"fatalities",260,"1985_1999"
"Gulf Air",301379762,"fatalities",0,"1985_1999"
"Hawaiian Airlines",493877795,"fatalities",0,"1985_1999"
"Iberia",1173203126,"fatalities",148,"1985_1999"
"Japan Airlines",1574217531,"fatalities",520,"1985_1999"
"Kenya Airways",277414794,"fatalities",0,"1985_1999"
"KLM*",1874561773,"fatalities",3,"1985_1999"
"Korean Air",1734522605,"fatalities",425,"1985_1999"
"LAN Airlines",1001965891,"fatalities",21,"1985_1999"
"Lufthansa*",3426529504,"fatalities",2,"1985_1999"
"Malaysia Airlines",1039171244,"fatalities",34,"1985_1999"
"Pakistan International",348563137,"fatalities",234,"1985_1999"
"Philippine Airlines",413007158,"fatalities",74,"1985_1999"
"Qantas*",1917428984,"fatalities",0,"1985_1999"
"Royal Air Maroc",295705339,"fatalities",51,"1985_1999"
"SAS*",682971852,"fatalities",0,"1985_1999"
"Saudi Arabian",859673901,"fatalities",313,"1985_1999"
"Singapore Airlines",2376857805,"fatalities",6,"1985_1999"
"South African",651502442,"fatalities",159,"1985_1999"
"Southwest Airlines",3276525770,"fatalities",0,"1985_1999"
"Sri Lankan / AirLanka",325582976,"fatalities",14,"1985_1999"
"SWISS*",792601299,"fatalities",229,"1985_1999"
"TACA",259373346,"fatalities",3,"1985_1999"
"TAM",1509195646,"fatalities",98,"1985_1999"
"TAP - Air Portugal",619130754,"fatalities",0,"1985_1999"
"Thai Airways",1702802250,"fatalities",308,"1985_1999"
"Turkish Airlines",1946098294,"fatalities",64,"1985_1999"
"United / Continental*",7139291291,"fatalities",319,"1985_1999"
"US Airways / America West*",2455687887,"fatalities",224,"1985_1999"
"Vietnam Airlines",625084918,"fatalities",171,"1985_1999"
"Virgin Atlantic",1005248585,"fatalities",0,"1985_1999"
"Xiamen Airlines",430462962,"fatalities",82,"1985_1999"
"Aer Lingus",320906734,"incidents",0,"2000_2014"
"Aeroflot*",1197672318,"incidents",6,"2000_2014"
"Aerolineas Argentinas",385803648,"incidents",1,"2000_2014"
"Aeromexico*",596871813,"incidents",5,"2000_2014"
"Air Canada",1865253802,"incidents",2,"2000_2014"
"Air France",3004002661,"incidents",6,"2000_2014"
"Air India*",869253552,"incidents",4,"2000_2014"
"Air New Zealand*",710174817,"incidents",5,"2000_2014"
"Alaska Airlines*",965346773,"incidents",5,"2000_2014"
"Alitalia",698012498,"incidents",4,"2000_2014"
"All Nippon Airways",1841234177,"incidents",7,"2000_2014"
"American*",5228357340,"incidents",17,"2000_2014"
"Austrian Airlines",358239823,"incidents",1,"2000_2014"
"Avianca",396922563,"incidents",0,"2000_2014"
"British Airways*",3179760952,"incidents",6,"2000_2014"
"Cathay Pacific*",2582459303,"incidents",2,"2000_2014"
"China Airlines",813216487,"incidents",2,"2000_2014"
"Condor",417982610,"incidents",0,"2000_2014"
"COPA",550491507,"incidents",0,"2000_2014"
"Delta / Northwest*",6525658894,"incidents",24,"2000_2014"
"Egyptair",557699891,"incidents",4,"2000_2014"
"El Al",335448023,"incidents",1,"2000_2014"
"Ethiopian Airlines",488560643,"incidents",5,"2000_2014"
"Finnair",506464950,"incidents",0,"2000_2014"
"Garuda Indonesia",613356665,"incidents",4,"2000_2014"
"Gulf Air",301379762,"incidents",3,"2000_2014"
"Hawaiian Airlines",493877795,"incidents",1,"2000_2014"
"Iberia",1173203126,"incidents",5,"2000_2014"
"Japan Airlines",1574217531,"incidents",0,"2000_2014"
"Kenya Airways",277414794,"incidents",2,"2000_2014"
"KLM*",1874561773,"incidents",1,"2000_2014"
"Korean Air",1734522605,"incidents",1,"2000_2014"
"LAN Airlines",1001965891,"incidents",0,"2000_2014"
"Lufthansa*",3426529504,"incidents",3,"2000_2014"
"Malaysia Airlines",1039171244,"incidents",3,"2000_2014"
"Pakistan International",348563137,"incidents",10,"2000_2014"
"Philippine Airlines",413007158,"incidents",2,"2000_2014"
"Qantas*",1917428984,"incidents",5,"2000_2014"
"Royal Air Maroc",295705339,"incidents",3,"2000_2014"
"SAS*",682971852,"incidents",6,"2000_2014"
"Saudi Arabian",859673901,"incidents",11,"2000_2014"
"Singapore Airlines",2376857805,"incidents",2,"2000_2014"
"South African",651502442,"incidents",1,"2000_2014"
"Southwest Airlines",3276525770,"incidents",8,"2000_2014"
"Sri Lankan / AirLanka",325582976,"incidents",4,"2000_2014"
"SWISS*",792601299,"incidents",3,"2000_2014"
"TACA",259373346,"incidents",1,"2000_2014"
"TAM",1509195646,"incidents",7,"2000_2014"
"TAP - Air Portugal",619130754,"incidents",0,"2000_2014"
"Thai Airways",1702802250,"incidents",2,"2000_2014"
"Turkish Airlines",1946098294,"incidents",8,"2000_2014"
"United / Continental*",7139291291,"incidents",14,"2000_2014"
"US Airways / America West*",2455687887,"incidents",11,"2000_2014"
"Vietnam Airlines",625084918,"incidents",1,"2000_2014"
"Virgin Atlantic",1005248585,"incidents",0,"2000_2014"
"Xiamen Airlines",430462962,"incidents",2,"2000_2014"
"Aer Lingus",320906734,"fatal_accidents",0,"2000_2014"
"Aeroflot*",1197672318,"fatal_accidents",1,"2000_2014"
"Aerolineas Argentinas",385803648,"fatal_accidents",0,"2000_2014"
"Aeromexico*",596871813,"fatal_accidents",0,"2000_2014"
"Air Canada",1865253802,"fatal_accidents",0,"2000_2014"
"Air France",3004002661,"fatal_accidents",2,"2000_2014"
"Air India*",869253552,"fatal_accidents",1,"2000_2014"
"Air New Zealand*",710174817,"fatal_accidents",1,"2000_2014"
"Alaska Airlines*",965346773,"fatal_accidents",1,"2000_2014"
"Alitalia",698012498,"fatal_accidents",0,"2000_2014"
"All Nippon Airways",1841234177,"fatal_accidents",0,"2000_2014"
"American*",5228357340,"fatal_accidents",3,"2000_2014"
"Austrian Airlines",358239823,"fatal_accidents",0,"2000_2014"
"Avianca",396922563,"fatal_accidents",0,"2000_2014"
"British Airways*",3179760952,"fatal_accidents",0,"2000_2014"
"Cathay Pacific*",2582459303,"fatal_accidents",0,"2000_2014"
"China Airlines",813216487,"fatal_accidents",1,"2000_2014"
"Condor",417982610,"fatal_accidents",0,"2000_2014"
"COPA",550491507,"fatal_accidents",0,"2000_2014"
"Delta / Northwest*",6525658894,"fatal_accidents",2,"2000_2014"
"Egyptair",557699891,"fatal_accidents",1,"2000_2014"
"El Al",335448023,"fatal_accidents",0,"2000_2014"
"Ethiopian Airlines",488560643,"fatal_accidents",2,"2000_2014"
"Finnair",506464950,"fatal_accidents",0,"2000_2014"
"Garuda Indonesia",613356665,"fatal_accidents",2,"2000_2014"
"Gulf Air",301379762,"fatal_accidents",1,"2000_2014"
"Hawaiian Airlines",493877795,"fatal_accidents",0,"2000_2014"
"Iberia",1173203126,"fatal_accidents",0,"2000_2014"
"Japan Airlines",1574217531,"fatal_accidents",0,"2000_2014"
"Kenya Airways",277414794,"fatal_accidents",2,"2000_2014"
"KLM*",1874561773,"fatal_accidents",0,"2000_2014"
"Korean Air",1734522605,"fatal_accidents",0,"2000_2014"
"LAN Airlines",1001965891,"fatal_accidents",0,"2000_2014"
"Lufthansa*",3426529504,"fatal_accidents",0,"2000_2014"
"Malaysia Airlines",1039171244,"fatal_accidents",2,"2000_2014"
"Pakistan International",348563137,"fatal_accidents",2,"2000_2014"
"Philippine Airlines",413007158,"fatal_accidents",1,"2000_2014"
"Qantas*",1917428984,"fatal_accidents",0,"2000_2014"
"Royal Air Maroc",295705339,"fatal_accidents",0,"2000_2014"
"SAS*",682971852,"fatal_accidents",1,"2000_2014"
"Saudi Arabian",859673901,"fatal_accidents",0,"2000_2014"
"Singapore Airlines",2376857805,"fatal_accidents",1,"2000_2014"
"South African",651502442,"fatal_accidents",0,"2000_2014"
"Southwest Airlines",3276525770,"fatal_accidents",0,"2000_2014"
"Sri Lankan / AirLanka",325582976,"fatal_accidents",0,"2000_2014"
"SWISS*",792601299,"fatal_accidents",0,"2000_2014"
"TACA",259373346,"fatal_accidents",1,"2000_2014"
"TAM",1509195646,"fatal_accidents",2,"2000_2014"
"TAP - Air Portugal",619130754,"fatal_accidents",0,"2000_2014"
"Thai Airways",1702802250,"fatal_accidents",1,"2000_2014"
"Turkish Airlines",1946098294,"fatal_accidents",2,"2000_2014"
"United / Continental*",7139291291,"fatal_accidents",2,"2000_2014"
"US Airways / America West*",2455687887,"fatal_accidents",2,"2000_2014"
"Vietnam Airlines",625084918,"fatal_accidents",0,"2000_2014"
"Virgin Atlantic",1005248585,"fatal_accidents",0,"2000_2014"
"Xiamen Airlines",430462962,"fatal_accidents",0,"2000_2014"
"Aer Lingus",320906734,"fatalities",0,"2000_2014"
"Aeroflot*",1197672318,"fatalities",88,"2000_2014"
"Aerolineas Argentinas",385803648,"fatalities",0,"2000_2014"
"Aeromexico*",596871813,"fatalities",0,"2000_2014"
"Air Canada",1865253802,"fatalities",0,"2000_2014"
"Air France",3004002661,"fatalities",337,"2000_2014"
"Air India*",869253552,"fatalities",158,"2000_2014"
"Air New Zealand*",710174817,"fatalities",7,"2000_2014"
"Alaska Airlines*",965346773,"fatalities",88,"2000_2014"
"Alitalia",698012498,"fatalities",0,"2000_2014"
"All Nippon Airways",1841234177,"fatalities",0,"2000_2014"
"American*",5228357340,"fatalities",416,"2000_2014"
"Austrian Airlines",358239823,"fatalities",0,"2000_2014"
"Avianca",396922563,"fatalities",0,"2000_2014"
"British Airways*",3179760952,"fatalities",0,"2000_2014"
"Cathay Pacific*",2582459303,"fatalities",0,"2000_2014"
"China Airlines",813216487,"fatalities",225,"2000_2014"
"Condor",417982610,"fatalities",0,"2000_2014"
"COPA",550491507,"fatalities",0,"2000_2014"
"Delta / Northwest*",6525658894,"fatalities",51,"2000_2014"
"Egyptair",557699891,"fatalities",14,"2000_2014"
"El Al",335448023,"fatalities",0,"2000_2014"
"Ethiopian Airlines",488560643,"fatalities",92,"2000_2014"
"Finnair",506464950,"fatalities",0,"2000_2014"
"Garuda Indonesia",613356665,"fatalities",22,"2000_2014"
"Gulf Air",301379762,"fatalities",143,"2000_2014"
"Hawaiian Airlines",493877795,"fatalities",0,"2000_2014"
"Iberia",1173203126,"fatalities",0,"2000_2014"
"Japan Airlines",1574217531,"fatalities",0,"2000_2014"
"Kenya Airways",277414794,"fatalities",283,"2000_2014"
"KLM*",1874561773,"fatalities",0,"2000_2014"
"Korean Air",1734522605,"fatalities",0,"2000_2014"
"LAN Airlines",1001965891,"fatalities",0,"2000_2014"
"Lufthansa*",3426529504,"fatalities",0,"2000_2014"
"Malaysia Airlines",1039171244,"fatalities",537,"2000_2014"
"Pakistan International",348563137,"fatalities",46,"2000_2014"
"Philippine Airlines",413007158,"fatalities",1,"2000_2014"
"Qantas*",1917428984,"fatalities",0,"2000_2014"
"Royal Air Maroc",295705339,"fatalities",0,"2000_2014"
"SAS*",682971852,"fatalities",110,"2000_2014"
"Saudi Arabian",859673901,"fatalities",0,"2000_2014"
"Singapore Airlines",2376857805,"fatalities",83,"2000_2014"
"South African",651502442,"fatalities",0,"2000_2014"
"Southwest Airlines",3276525770,"fatalities",0,"2000_2014"
"Sri Lankan / AirLanka",325582976,"fatalities",0,"2000_2014"
"SWISS*",792601299,"fatalities",0,"2000_2014"
"TACA",259373346,"fatalities",3,"2000_2014"
"TAM",1509195646,"fatalities",188,"2000_2014"
"TAP - Air Portugal",619130754,"fatalities",0,"2000_2014"
"Thai Airways",1702802250,"fatalities",1,"2000_2014"
"Turkish Airlines",1946098294,"fatalities",84,"2000_2014"
"United / Continental*",7139291291,"fatalities",109,"2000_2014"
"US Airways / America West*",2455687887,"fatalities",23,"2000_2014"
"Vietnam Airlines",625084918,"fatalities",0,"2000_2014"
"Virgin Atlantic",1005248585,"fatalities",0,"2000_2014"
"Xiamen Airlines",430462962,"fatalities",0,"2000_2014"
